index    0s       other      columns
0      3548       1053     word_freq_make
1      3703       898     word_freq_address
2      2713       1888     word_freq_all
3      4554       47     word_freq_3d
4      2853       1748     word_freq_our
5      3602       999     word_freq_over
6      3794       807     word_freq_remove
7      3777       824     word_freq_internet
8      3828       773     word_freq_order
9      3299       1302     word_freq_mail
10      3892       709     word_freq_receive
11      2276       2325     word_freq_will
12      3749       852     word_freq_people
13      4244       357     word_freq_report
14      4265       336     word_freq_addresses
15      3360       1241     word_freq_free
16      3638       963     word_freq_business
17      3563       1038     word_freq_email
18      1374       3227     word_freq_you
19      4177       424     word_freq_credit
20      2178       2423     word_freq_your
21      4484       117     word_freq_font
22      3922       679     word_freq_000
23      3866       735     word_freq_money
24      3511       1090     word_freq_hp
25      3790       811     word_freq_hpl
26      3821       780     word_freq_george
27      4138       463     word_freq_650
28      4229       372     word_freq_lab
29      4132       469     word_freq_labs
30      4308       293     word_freq_telnet
31      4396       205     word_freq_857
32      4196       405     word_freq_data
33      4386       215     word_freq_415
34      4116       485     word_freq_85
35      4002       599     word_freq_technology
36      3772       829     word_freq_1999
37      4518       83     word_freq_parts
38      4217       384     word_freq_pm
39      4148       453     word_freq_direct
40      4453       148     word_freq_cs
41      4260       341     word_freq_meeting
42      4226       375     word_freq_original
43      4274       327     word_freq_project
44      3290       1311     word_freq_re
45      4084       517     word_freq_edu
46      4538       63     word_freq_table
47      4398       203     word_freq_conference
48      3811       790     char_freq_%3B
49      1886       2715     char_freq_%28
50      4072       529     char_freq_%5B
51      2343       2258     char_freq_%21
52      3201       1400     char_freq_%24
53      3851       750     char_freq_%23
54      0       4601     capital_run_length_average
55      0       4601     capital_run_length_longest
56      0       4601     capital_run_length_total
57      2788       1813     class
